wavelength,"0","30","60","90"
400.35,0.07339,0.08333,0.06367,0.06267
400.81,0.07298,0.08307,0.06342,0.06212
401.27,0.0726,0.08281,0.06317,0.06159
401.73,0.07222,0.08256,0.06292,0.06107
402.19,0.07186,0.08231,0.06268,0.06058
402.65,0.07151,0.08206,0.06245,0.0601
403.12,0.07118,0.08182,0.06221,0.05965
403.58,0.07086,0.08158,0.06198,0.05921
404.04,0.07056,0.08135,0.06176,0.05879
404.5,0.07027,0.08112,0.06153,0.05839
404.96,0.06999,0.08089,0.06131,0.05801
405.42,0.06973,0.08067,0.0611,0.05764
405.88,0.06948,0.08045,0.06088,0.0573
406.34,0.06925,0.08024,0.06067,0.05697
406.81,0.06903,0.08003,0.06047,0.05666
407.27,0.06882,0.07982,0.06026,0.05637
407.73,0.06863,0.07962,0.06006,0.0561
408.19,0.06845,0.07942,0.05987,0.05585
408.65,0.06829,0.07923,0.05968,0.05562
409.11,0.06814,0.07904,0.05949,0.0554
409.57,0.068,0.07885,0.0593,0.05521
410.03,0.06784,0.07867,0.05918,0.05512
410.49,0.06772,0.07849,0.05904,0.05502
410.96,0.06763,0.07832,0.05887,0.05495
411.42,0.06757,0.07815,0.05871,0.05491
411.88,0.06751,0.07798,0.05856,0.05486
412.34,0.06747,0.07781,0.05835,0.05482
412.8,0.06744,0.07765,0.05814,0.05475
413.26,0.06741,0.07746,0.05797,0.05467
413.72,0.06737,0.07728,0.05779,0.0546
414.18,0.06735,0.07717,0.05762,0.05454
414.64,0.06735,0.07706,0.05753,0.05451
415.1,0.06737,0.07696,0.05741,0.05446
415.56,0.06741,0.07681,0.05734,0.0544
416.02,0.06747,0.07668,0.05726,0.05431
416.48,0.06752,0.07659,0.05715,0.05414
416.95,0.06757,0.07649,0.05705,0.05401
417.41,0.06759,0.07644,0.05692,0.05382
417.87,0.06757,0.07643,0.05672,0.05359
418.33,0.06752,0.07642,0.05657,0.0534
418.79,0.06745,0.07643,0.05642,0.05322
419.25,0.06735,0.07641,0.05628,0.05301
419.71,0.06725,0.07632,0.05618,0.05281
420.17,0.06716,0.07619,0.05601,0.05256
420.63,0.06706,0.07604,0.05591,0.05236
421.09,0.06695,0.07586,0.0558,0.0522
421.55,0.06683,0.07564,0.0557,0.052
422.01,0.06667,0.07538,0.0556,0.05172
422.47,0.06647,0.07512,0.05548,0.05147
422.93,0.06623,0.07489,0.0554,0.05131
423.39,0.06597,0.07475,0.05535,0.05119
423.85,0.06569,0.07458,0.05532,0.05106
424.31,0.06541,0.07437,0.05529,0.05093
424.77,0.06515,0.07419,0.05521,0.05076
425.23,0.06491,0.07402,0.0551,0.05064
425.69,0.0647,0.07388,0.055,0.05057
426.15,0.06455,0.07369,0.05487,0.05049
426.61,0.06444,0.0735,0.05476,0.05042
427.07,0.06438,0.07332,0.05465,0.05036
427.53,0.06436,0.07317,0.05458,0.05037
427.99,0.06437,0.07302,0.0545,0.05039
428.45,0.06441,0.07285,0.05445,0.05037
428.91,0.06446,0.0727,0.05436,0.0503
429.37,0.06449,0.07256,0.0543,0.05026
429.83,0.06451,0.07239,0.05417,0.05021
430.29,0.06451,0.07223,0.05405,0.05016
430.75,0.06451,0.07205,0.05394,0.05007
431.21,0.06449,0.07186,0.05382,0.05
431.67,0.06448,0.0717,0.05368,0.04999
432.13,0.06449,0.07155,0.05358,0.05
432.59,0.06453,0.07143,0.05355,0.05002
433.05,0.0646,0.07132,0.05356,0.0501
433.51,0.06467,0.07118,0.05354,0.05014
433.97,0.06474,0.07101,0.05354,0.05017
434.43,0.06479,0.07088,0.05352,0.05021
434.89,0.06481,0.07083,0.05353,0.05024
435.35,0.0648,0.07082,0.05358,0.05031
435.81,0.06477,0.07078,0.05362,0.05038
436.27,0.06474,0.0707,0.0537,0.05044
436.73,0.06472,0.07066,0.05382,0.05045
437.19,0.06472,0.07066,0.0539,0.05052
437.65,0.06474,0.07067,0.05401,0.05059
438.11,0.06478,0.07065,0.05416,0.0507
438.57,0.06481,0.07062,0.05421,0.05081
439.03,0.06485,0.07063,0.05429,0.05091
439.48,0.06487,0.07066,0.05428,0.05101
439.94,0.06486,0.07068,0.0543,0.0511
440.4,0.06482,0.0707,0.0543,0.05114
440.86,0.06476,0.07064,0.05427,0.05117
441.32,0.0647,0.07057,0.05426,0.05121
441.78,0.06464,0.0705,0.05417,0.05119
442.24,0.06459,0.0704,0.05411,0.05118
442.7,0.06453,0.07032,0.05399,0.05116
443.16,0.0645,0.07024,0.0539,0.05112
443.62,0.06448,0.07019,0.0538,0.05111
444.08,0.06449,0.07011,0.05371,0.05113
444.54,0.06448,0.07006,0.05361,0.05111
444.99,0.06447,0.07004,0.05359,0.05114
445.45,0.06444,0.07005,0.0535,0.05111
445.91,0.06441,0.07008,0.05345,0.05114
446.37,0.06437,0.07008,0.05335,0.05106
446.83,0.06429,0.07009,0.05324,0.05096
447.29,0.06419,0.07009,0.05308,0.05087
447.75,0.06408,0.07009,0.0529,0.05081
448.21,0.06396,0.07002,0.05269,0.05073
448.67,0.06386,0.06995,0.05257,0.05066
449.12,0.06376,0.06986,0.05245,0.0506
449.58,0.06369,0.06973,0.05229,0.05063
450.04,0.06365,0.06963,0.05222,0.05066
450.5,0.06364,0.06955,0.05217,0.05067
450.96,0.06365,0.06946,0.05217,0.05069
451.42,0.06367,0.0694,0.0522,0.05071
451.88,0.0637,0.06934,0.05218,0.0507
452.34,0.06373,0.06925,0.05218,0.05069
452.79,0.06377,0.06916,0.0522,0.05064
453.25,0.0638,0.06912,0.05225,0.0506
453.71,0.06384,0.06906,0.05228,0.05057
454.17,0.06391,0.069,0.0523,0.05055
454.63,0.06399,0.06899,0.05231,0.05053
455.09,0.0641,0.06896,0.05233,0.05047
455.55,0.06421,0.06894,0.05237,0.05052
456,0.06434,0.06889,0.05242,0.05057
456.46,0.06445,0.06883,0.05245,0.05058
456.92,0.06456,0.06877,0.05248,0.05058
457.38,0.06466,0.06876,0.05254,0.05053
457.84,0.06473,0.06873,0.05259,0.05044
458.3,0.06478,0.06872,0.05267,0.05039
458.75,0.06483,0.06869,0.0527,0.05029
459.21,0.06487,0.06867,0.05273,0.05018
459.67,0.06493,0.06871,0.05279,0.05014
460.13,0.06498,0.06874,0.05282,0.05007
460.59,0.06503,0.06872,0.05291,0.05008
461.04,0.06509,0.0687,0.05293,0.05014
461.5,0.06517,0.06865,0.05298,0.05017
461.96,0.06523,0.06864,0.05299,0.05021
462.42,0.06528,0.06864,0.05304,0.05026
462.88,0.06531,0.06864,0.05305,0.05029
463.33,0.06534,0.06865,0.05308,0.05029
463.79,0.06535,0.0687,0.05308,0.05026
464.25,0.06537,0.0688,0.05312,0.05024
464.71,0.06539,0.06894,0.05313,0.05019
465.17,0.06542,0.06903,0.05314,0.0502
465.62,0.06547,0.0691,0.05314,0.05021
466.08,0.06555,0.06914,0.05318,0.05024
466.54,0.06562,0.06923,0.05328,0.05029
467,0.0657,0.06927,0.05333,0.05033
467.46,0.06578,0.06933,0.05335,0.05035
467.91,0.06584,0.06937,0.05331,0.05033
468.37,0.0659,0.06946,0.05332,0.05029
468.83,0.06597,0.06953,0.05329,0.05024
469.29,0.06604,0.06962,0.05326,0.05012
469.74,0.06612,0.06972,0.05321,0.05003
470.2,0.0662,0.06982,0.05318,0.04994
470.66,0.0663,0.0699,0.0532,0.04987
471.12,0.06642,0.06998,0.05321,0.04985
471.57,0.06656,0.0701,0.05322,0.04987
472.03,0.06669,0.07022,0.05324,0.0499
472.49,0.06684,0.07031,0.05328,0.04998
472.95,0.06699,0.07046,0.05332,0.05006
473.4,0.06716,0.07064,0.05334,0.05008
473.86,0.06734,0.07077,0.05338,0.05017
474.32,0.06751,0.0709,0.05347,0.05025
474.78,0.06768,0.07101,0.05353,0.05026
475.23,0.06787,0.0711,0.05363,0.05032
475.69,0.06805,0.07122,0.05371,0.05032
476.15,0.06822,0.07129,0.05378,0.05032
476.6,0.06838,0.07134,0.05385,0.05035
477.06,0.06852,0.07138,0.05387,0.05037
477.52,0.06865,0.07143,0.0539,0.05036
477.98,0.06876,0.07147,0.05392,0.05035
478.43,0.06887,0.07154,0.05395,0.05031
478.89,0.06898,0.07157,0.05394,0.05029
479.35,0.0691,0.0716,0.05391,0.05028
479.8,0.06923,0.07165,0.05392,0.05023
480.26,0.06935,0.07171,0.05393,0.05016
480.72,0.06947,0.07173,0.05395,0.05014
481.18,0.0696,0.07177,0.05397,0.05012
481.63,0.06974,0.07179,0.05404,0.05009
482.09,0.06988,0.07182,0.05411,0.05012
482.55,0.07004,0.07186,0.05423,0.05017
483,0.07021,0.07187,0.05432,0.05027
483.46,0.0704,0.0719,0.05442,0.05039
483.92,0.07059,0.07199,0.05452,0.05049
484.37,0.07078,0.07203,0.05464,0.05059
484.83,0.07096,0.07211,0.05471,0.05068
485.29,0.07115,0.0722,0.05474,0.05069
485.74,0.07133,0.07231,0.05477,0.05068
486.2,0.07152,0.07242,0.0548,0.05069
486.66,0.07174,0.07253,0.05486,0.05074
487.11,0.07197,0.0726,0.05494,0.05078
487.57,0.07223,0.07264,0.05502,0.05081
488.03,0.07249,0.07268,0.05515,0.05093
488.48,0.07277,0.07271,0.05528,0.05106
488.94,0.07304,0.07282,0.05539,0.05117
489.4,0.07332,0.07292,0.05551,0.05127
489.85,0.07358,0.07303,0.05558,0.05136
490.31,0.07385,0.07317,0.05567,0.05143
490.77,0.07414,0.07336,0.05576,0.05154
491.22,0.07446,0.07352,0.05582,0.05162
491.68,0.07481,0.07367,0.05587,0.05172
492.13,0.07519,0.07381,0.05601,0.05191
492.59,0.07556,0.07397,0.05616,0.0521
493.05,0.07593,0.07412,0.05627,0.05221
493.5,0.07628,0.07425,0.05638,0.05234
493.96,0.07658,0.07443,0.05644,0.0524
494.42,0.07684,0.07466,0.05646,0.05246
494.87,0.07705,0.07492,0.05651,0.05251
495.33,0.07725,0.07519,0.0565,0.05254
495.78,0.07746,0.07549,0.05651,0.05254
496.24,0.07769,0.0758,0.05659,0.05265
496.7,0.07794,0.07607,0.0567,0.05275
497.15,0.07823,0.07631,0.05683,0.05289
497.61,0.07853,0.07654,0.05702,0.05303
498.06,0.07884,0.07673,0.05723,0.05315
498.52,0.07915,0.07689,0.05751,0.05326
498.98,0.07945,0.07704,0.05779,0.05345
499.43,0.07974,0.07723,0.05808,0.05358
499.89,0.08002,0.07741,0.05838,0.05372
500.34,0.0803,0.07761,0.05868,0.05391
500.8,0.0806,0.07778,0.05902,0.05415
501.25,0.08091,0.07796,0.0593,0.05439
501.71,0.08123,0.07809,0.05957,0.0546
502.17,0.08155,0.07823,0.05983,0.0548
502.62,0.08185,0.07838,0.06009,0.05497
503.08,0.08214,0.07853,0.06033,0.05516
503.53,0.08241,0.0787,0.06053,0.0553
503.99,0.08267,0.07889,0.06065,0.05543
504.44,0.08292,0.07913,0.06082,0.05552
504.9,0.08318,0.07938,0.06097,0.0556
505.36,0.08346,0.07963,0.06113,0.05565
505.81,0.08375,0.07989,0.06131,0.05571
506.27,0.08407,0.08018,0.06152,0.05576
506.72,0.08441,0.08045,0.06174,0.05577
507.18,0.08475,0.08069,0.06194,0.05579
507.63,0.0851,0.08097,0.06216,0.05591
508.09,0.08544,0.08125,0.06237,0.05603
508.54,0.0858,0.08154,0.06255,0.05615
509,0.08616,0.08182,0.06272,0.05632
509.45,0.08651,0.08207,0.06285,0.05646
509.91,0.08685,0.08229,0.06297,0.05664
510.36,0.08715,0.08254,0.06308,0.05683
510.82,0.08743,0.08278,0.06315,0.05695
511.27,0.08768,0.08302,0.06322,0.05706
511.73,0.08793,0.08327,0.06326,0.05719
512.19,0.08815,0.08348,0.06333,0.0573
512.64,0.08838,0.08369,0.06343,0.05744
513.1,0.08863,0.08392,0.06353,0.05754
513.55,0.0889,0.08414,0.06367,0.05764
514.01,0.0892,0.08437,0.06388,0.0578
514.46,0.08952,0.08462,0.06408,0.05795
514.92,0.08986,0.08487,0.06426,0.05804
515.37,0.09021,0.08522,0.06444,0.05818
515.83,0.09058,0.08553,0.06464,0.05829
516.28,0.09095,0.08587,0.06491,0.05845
516.73,0.09132,0.08623,0.06516,0.05864
517.19,0.09169,0.0866,0.06539,0.05879
517.64,0.09206,0.08696,0.06566,0.05898
518.1,0.09243,0.08731,0.0659,0.05921
518.55,0.09279,0.08761,0.0661,0.0594
519.01,0.09316,0.0879,0.06632,0.05956
519.46,0.09353,0.08816,0.06653,0.05969
519.92,0.0939,0.08843,0.06669,0.05982
520.37,0.09427,0.08868,0.06688,0.05998
520.83,0.09465,0.08891,0.06706,0.06009
521.28,0.09505,0.08919,0.06723,0.06023
521.74,0.09547,0.08947,0.06739,0.06033
522.19,0.09591,0.08974,0.06756,0.06042
522.65,0.09637,0.08999,0.06777,0.06053
523.1,0.09686,0.09022,0.06799,0.06063
523.55,0.09736,0.09044,0.06826,0.06077
524.01,0.09784,0.09064,0.06854,0.06095
524.46,0.09829,0.09087,0.06886,0.06112
524.92,0.09869,0.09108,0.06914,0.06129
525.37,0.09905,0.09135,0.06941,0.06147
525.83,0.09936,0.09161,0.06966,0.06169
526.28,0.09964,0.09186,0.06986,0.06183
526.73,0.0999,0.09213,0.07002,0.06199
527.19,0.10015,0.09235,0.07016,0.06215
527.64,0.10041,0.09256,0.07028,0.06229
528.1,0.10068,0.09272,0.07045,0.06245
528.55,0.10094,0.09287,0.07064,0.0626
529.01,0.10119,0.09297,0.07083,0.06273
529.46,0.10142,0.09307,0.07099,0.06287
529.91,0.10163,0.09318,0.07109,0.06295
530.37,0.1018,0.09329,0.07118,0.06296
530.82,0.10196,0.09338,0.0712,0.06296
531.28,0.1021,0.09346,0.07122,0.06293
531.73,0.10224,0.09352,0.07122,0.06288
532.18,0.1024,0.09356,0.07115,0.06287
532.64,0.10257,0.09362,0.07107,0.06289
533.09,0.10275,0.09369,0.071,0.0629
533.54,0.10294,0.09373,0.07103,0.06292
534,0.10313,0.09381,0.07111,0.06294
534.45,0.10332,0.09388,0.07119,0.06297
534.91,0.10349,0.09395,0.07126,0.06303
535.36,0.10365,0.09403,0.07135,0.06301
535.81,0.1038,0.09411,0.07144,0.06302
536.27,0.10396,0.0942,0.07148,0.063
536.72,0.10413,0.09433,0.07154,0.06299
537.17,0.10431,0.09448,0.07159,0.06297
537.63,0.10451,0.09463,0.07162,0.06296
538.08,0.10473,0.09479,0.07162,0.06297
538.54,0.10497,0.09494,0.07169,0.06302
538.99,0.10523,0.09506,0.07177,0.06303
539.44,0.1055,0.09514,0.07185,0.06307
539.9,0.10577,0.09524,0.07193,0.06312
540.35,0.10603,0.09532,0.07207,0.06321
540.8,0.10627,0.09539,0.07219,0.06328
541.26,0.10648,0.09545,0.0723,0.06335
541.71,0.10664,0.09553,0.07241,0.06342
542.16,0.10674,0.09563,0.07248,0.06346
542.62,0.10681,0.09572,0.07256,0.06351
543.07,0.10686,0.09577,0.07258,0.06352
543.52,0.1069,0.09586,0.07257,0.06354
543.98,0.10694,0.09598,0.07257,0.06361
544.43,0.10698,0.09606,0.07262,0.06365
544.88,0.10701,0.09614,0.07269,0.06374
545.34,0.10704,0.09621,0.07273,0.06382
545.79,0.10705,0.09629,0.07284,0.0639
546.24,0.10702,0.09639,0.07295,0.06401
546.69,0.10696,0.09648,0.07301,0.06411
547.15,0.10688,0.09658,0.07302,0.06412
547.6,0.10681,0.09663,0.07301,0.06415
548.05,0.10675,0.09672,0.07297,0.06415
548.51,0.10671,0.09675,0.07295,0.06414
548.96,0.10671,0.09674,0.07291,0.06417
549.41,0.10675,0.09673,0.0729,0.06415
549.86,0.10682,0.09668,0.07287,0.06412
550.32,0.1069,0.09669,0.07288,0.06414
550.77,0.10698,0.09668,0.07293,0.06416
551.22,0.10706,0.09668,0.07299,0.06408
551.68,0.10715,0.09671,0.07306,0.06404
552.13,0.10722,0.09679,0.07308,0.06399
552.58,0.1073,0.09685,0.07314,0.06394
553.03,0.10739,0.09688,0.0732,0.06392
553.49,0.10749,0.09687,0.07322,0.06382
553.94,0.10759,0.09688,0.07326,0.06375
554.39,0.1077,0.09686,0.07329,0.0637
554.84,0.10781,0.09684,0.07333,0.06366
555.3,0.10792,0.09682,0.07334,0.06356
555.75,0.10803,0.0968,0.07333,0.06348
556.2,0.10814,0.0968,0.07336,0.06345
556.65,0.10825,0.09682,0.07335,0.06341
557.11,0.10835,0.09684,0.07332,0.06334
557.56,0.10845,0.09682,0.07329,0.06327
558.01,0.10853,0.09682,0.07326,0.06316
558.46,0.10859,0.09688,0.07326,0.06309
558.92,0.10862,0.09694,0.07318,0.06298
559.37,0.10864,0.097,0.07307,0.06286
559.82,0.10865,0.09703,0.07298,0.06273
560.27,0.10865,0.09702,0.07287,0.06263
560.72,0.10865,0.09703,0.07279,0.06253
561.18,0.10865,0.09699,0.07273,0.06247
561.63,0.10864,0.09689,0.0727,0.06245
562.08,0.10864,0.0968,0.07274,0.06243
562.53,0.10861,0.09672,0.07277,0.06242
562.99,0.10857,0.09666,0.0728,0.06244
563.44,0.10851,0.09658,0.07277,0.06243
563.89,0.10845,0.09649,0.07275,0.06242
564.34,0.10839,0.09642,0.07269,0.0624
564.79,0.10833,0.09638,0.0726,0.06237
565.25,0.10827,0.09632,0.07247,0.06232
565.7,0.10821,0.09625,0.07236,0.06229
566.15,0.10817,0.09618,0.0722,0.06219
566.6,0.10813,0.09611,0.07204,0.06212
567.05,0.10808,0.09603,0.07188,0.06203
567.5,0.108,0.09594,0.07171,0.06193
567.96,0.10791,0.09584,0.07154,0.06181
568.41,0.1078,0.09574,0.07141,0.06169
568.86,0.10769,0.09562,0.07124,0.06152
569.31,0.10757,0.09551,0.07111,0.06134
569.76,0.10745,0.0954,0.07097,0.06119
570.21,0.10733,0.09527,0.07091,0.06107
570.67,0.10724,0.09514,0.07088,0.06095
571.12,0.10716,0.09497,0.0708,0.06085
571.57,0.10707,0.09481,0.07071,0.0607
572.02,0.10697,0.09466,0.07065,0.06058
572.47,0.10685,0.09451,0.07056,0.06048
572.92,0.10672,0.09435,0.07044,0.06034
573.37,0.10656,0.09416,0.07026,0.06017
573.83,0.10639,0.09397,0.07001,0.05999
574.28,0.1062,0.09377,0.06979,0.05979
574.73,0.106,0.09354,0.06958,0.05959
575.18,0.1058,0.09329,0.06937,0.0594
575.63,0.10559,0.09303,0.06919,0.05921
576.08,0.10537,0.09278,0.06899,0.05897
576.53,0.10515,0.09259,0.06879,0.05875
576.98,0.10492,0.09236,0.06861,0.0585
577.44,0.1047,0.09218,0.06842,0.05827
577.89,0.10447,0.09199,0.06827,0.05809
578.34,0.10425,0.0918,0.06811,0.05792
578.79,0.10405,0.09164,0.06796,0.05777
579.24,0.10385,0.09146,0.06781,0.05766
579.69,0.10367,0.09127,0.06766,0.05752
580.14,0.10349,0.09104,0.06754,0.05742
580.59,0.10332,0.09083,0.06736,0.05734
581.04,0.10315,0.09061,0.06717,0.05726
581.49,0.10297,0.09036,0.06693,0.05717
581.95,0.10277,0.0901,0.06669,0.05706
582.4,0.10255,0.08984,0.06644,0.05694
582.85,0.10231,0.08958,0.06616,0.0568
583.3,0.10204,0.08934,0.06586,0.05661
583.75,0.10177,0.08908,0.06556,0.05638
584.2,0.1015,0.08883,0.06526,0.05615
584.65,0.10121,0.0886,0.06499,0.05595
585.1,0.10093,0.08837,0.06473,0.05573
585.55,0.10068,0.08812,0.06448,0.05555
586,0.10043,0.08787,0.06427,0.05536
586.45,0.10019,0.08766,0.06411,0.05519
586.9,0.09996,0.08744,0.06391,0.05506
587.35,0.09975,0.08718,0.06378,0.05491
587.8,0.09954,0.08691,0.06362,0.0548
588.25,0.09935,0.08663,0.06346,0.05468
588.71,0.09914,0.0864,0.06326,0.05455
589.16,0.09892,0.08615,0.06303,0.05439
589.61,0.0987,0.0859,0.06282,0.05422
590.06,0.09847,0.08564,0.06261,0.05402
590.51,0.09822,0.08537,0.06235,0.0538
590.96,0.09797,0.08511,0.06204,0.05353
591.41,0.0977,0.08485,0.06175,0.05322
591.86,0.09741,0.08452,0.06144,0.0529
592.31,0.09713,0.08419,0.06116,0.05257
592.76,0.09683,0.08381,0.06087,0.05222
593.21,0.09654,0.08342,0.06055,0.0519
593.66,0.09624,0.08301,0.0603,0.05153
594.11,0.09595,0.08261,0.06001,0.05114
594.56,0.09566,0.08219,0.05979,0.05082
595.01,0.09537,0.08181,0.0596,0.05056
595.46,0.09508,0.08142,0.05938,0.05029
595.91,0.09479,0.08103,0.05918,0.05003
596.36,0.09449,0.08064,0.05893,0.04974
596.81,0.09418,0.08029,0.05868,0.04945
597.26,0.09386,0.07995,0.05842,0.04918
597.71,0.09354,0.07964,0.05815,0.04885
598.16,0.09321,0.0793,0.05785,0.04854
598.61,0.09289,0.079,0.05751,0.04821
599.06,0.09256,0.0787,0.05717,0.04789
599.51,0.09223,0.0784,0.05683,0.04758
599.96,0.09191,0.0781,0.05652,0.04727
600.41,0.09159,0.07779,0.05621,0.04695
600.86,0.09128,0.07746,0.05588,0.04664
601.31,0.09096,0.07715,0.05554,0.04633
601.76,0.09066,0.07679,0.05521,0.04605
602.21,0.09037,0.07643,0.05494,0.04583
